regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000221978	ENSG00000113593	0.109968	0.045803	1	-nan
ENSG00000221978	ENSG00000112972	0.18659	0.0429994	1	-nan
ENSG00000221978	ENSG00000111716	0.152035	-0.0414067	1	-nan
ENSG00000221978	ENSG00000111652	0.166615	0.0563057	1	-nan
ENSG00000221978	ENSG00000111319	0.14628	0.0525446	1	-nan
ENSG00000221978	ENSG00000110660	0.0808422	0.036862	1	-nan
ENSG00000221978	ENSG00000110237	0.0511037	0.0367152	1	-nan
ENSG00000221978	ENSG00000109680	0.0502643	0.0298778	1	-nan
ENSG00000221978	ENSG00000108242	6.0193e-05	0.0123788	1	-nan
ENSG00000221978	ENSG00000107771	0.131501	0.0526973	1	-nan
ENSG00000221978	ENSG00000106635	0.158154	0.0503806	1	-nan
ENSG00000221978	ENSG00000106462	0.0844445	0.0521403	1	-nan
ENSG00000221978	ENSG00000078269	0.082464	0.037387	1	-nan
ENSG00000221978	ENSG00000075618	0.129124	0.0675487	1	-nan
ENSG00000221978	ENSG00000075426	0.199118	0.0630682	1	-nan
ENSG00000221978	ENSG00000072778	0.305806	0.0911832	2	-nan
ENSG00000221978	ENSG00000071859	0.187888	0.0728499	1	-nan
ENSG00000221978	ENSG00000070366	0.0966033	0.0481701	1	-nan
ENSG00000221978	ENSG00000064601	0.22224	0.0311818	1	-nan
ENSG00000221978	ENSG00000064309	0.0146123	0.00912534	1	-nan
ENSG00000221978	ENSG00000062582	0.0813378	0.050704	1	-nan
ENSG00000221978	ENSG00000061676	0.244061	0.0769294	1	-nan
ENSG00000221978	ENSG00000010292	0.050222	0.0379653	1	-nan
ENSG00000221978	ENSG00000008869	0.0584927	0.0303789	1	-nan
ENSG00000221978	ENSG00000029993	0.199647	0.0537235	1	-nan
ENSG00000221978	ENSG00000035115	0.223418	0.0435832	1	-nan
ENSG00000221978	ENSG00000042493	0.213849	0.0454203	1	-nan
